,latitude,longitude,amenity
576,51.9829274,4.3391819,
577,51.9867105,4.3567329,
578,51.9839598,4.3578025,
579,51.9813033,4.3413011,
580,51.9835203,4.3525284,
581,51.9812973,4.3445286,
582,51.9809819,4.3471363,
583,51.9841959,4.3514884,
584,51.9804529,4.3605239,
585,51.9818635,4.3463318,
586,51.9812625,4.3574927,
587,51.9784229,4.3435316,
588,51.9807899,4.3600559,
589,51.9847281,4.3541591,
590,51.9799983,4.3386132,
591,51.9808749,4.3633166,
592,51.9789416,4.3436018,
593,51.9870123,4.3563080,
594,51.9847145,4.3582548,
595,51.9843291,4.3504997,
596,51.9817427,4.3606531,
597,51.9818701,4.3448134,
598,51.9807788,4.3599879,
599,51.9834742,4.3374855,
600,51.9778045,4.3450372,
601,51.9844123,4.3641249,
602,51.9808945,4.3424481,
603,51.9813033,4.3413009,
604,51.9835307,4.3526026,
605,51.9813107,4.3445954,
606,51.9809557,4.3471752,
607,51.9842086,4.3515587,
608,51.9804527,4.3605240,
609,51.9818636,4.3463316,
610,51.9812626,4.3574926,
611,51.9784094,4.3434538,
612,51.9807668,4.3599186,
613,51.9847153,4.3540844,
614,51.9799539,4.3386306,
615,51.9808748,4.3633168,
616,51.9789296,4.3435323,
617,51.9870009,4.3562299,
618,51.9846678,4.3582156,
619,51.9843383,4.3505615,
620,51.9817425,4.3606532,
621,51.9818702,4.3448132,
622,51.9807557,4.3598506,
623,51.9834741,4.3374854,
624,51.9778043,4.3450373,
625,51.9843961,4.3639912,
626,51.9808946,4.3424482,
627,51.9813032,4.3413007,
628,51.9835458,4.3526748,
629,51.9813249,4.3446646,
630,51.9842201,4.3516270,
631,51.9804525,4.3605241,
632,51.9818636,4.3463314,
633,51.9812628,4.3574925,
634,51.9783969,4.3433760,
635,51.9807445,4.3597826,
636,51.9847005,4.3540064,
637,51.9799055,4.3386514,
638,51.9808747,4.3633170,
639,51.9789175,4.3434587,
640,51.9869894,4.3561475,
641,51.9846198,4.3581727,
642,51.9843372,4.3504335,
643,51.9817423,4.3606532,
644,51.9818703,4.3448130,
645,51.9807350,4.3597127,
646,51.9834739,4.3374852,
647,51.9942380,4.3834141,
648,51.9778042,4.3450375,
649,51.9843894,4.3639218,
650,51.9808948,4.3424482,
651,51.9813032,4.3413005,
652,51.9835549,4.3527432,
653,51.9813390,4.3447326,
654,51.9806293,4.3474795,
655,51.9842304,4.3517013,
656,51.9804524,4.3605242,
657,51.9818637,4.3463313,
658,51.9812630,4.3574925,
659,51.9783844,4.3432981,
660,51.9807225,4.3596475,
661,51.9797352,4.3387194,
662,51.9808747,4.3633172,
663,51.9812032,4.3476143,
664,51.9869780,4.3560694,
665,51.9845390,4.3580079,
666,51.9843464,4.3504943,
667,51.9817421,4.3606533,
668,51.9818704,4.3448128,
669,51.9807112,4.3595784,
670,51.9834738,4.3374851,
671,51.9778040,4.3450376,
672,51.9843826,4.3638523,
673,51.9808950,4.3424483,
674,51.9810921,4.3413898,
675,51.9835677,4.3528154,
676,51.9813525,4.3448019,
677,51.9806891,4.3474731,
678,51.9842420,4.3517774,
679,51.9804522,4.3605242,
680,51.9818637,4.3463311,
681,51.9812632,4.3574924,
682,51.9783718,4.3432217,
683,51.9806999,4.3595074,
684,51.9796832,4.3387448,
685,51.9808746,4.3633173,
686,51.9812031,4.3476145,
687,51.9845252,4.3579279,
688,51.9843562,4.3505541,
689,51.9816726,4.3602730,
690,51.9818704,4.3448127,
691,51.9806886,4.3594440,
692,51.9834736,4.3374850,
693,51.9778039,4.3450377,
694,51.9843758,4.3637763,
695,51.9808952,4.3424484,
696,51.9814736,4.3620420,
697,51.9794843,4.3551400,
698,51.9855068,4.3649629,
699,51.9818393,4.3646466,
700,51.9789195,4.3498189,
701,51.9829808,4.3450578,
702,51.9867378,4.3681078,
703,51.9819523,4.3432969,
704,51.9821848,4.3657470,
705,51.9841400,4.3511227,
706,51.9806558,4.3393213,
707,51.9871331,4.3718608,
708,51.9790483,4.3507799,
709,51.9859908,4.3617626,
710,51.9811857,4.3424873,
711,51.9866037,4.3588413,
712,51.9825068,4.3472404,
713,51.9842955,4.3494751,
714,51.9832761,4.3659256,
715,51.9809133,4.3376695,
716,51.9837879,4.3476796,
717,51.9811351,4.3597787,
718,51.9839190,4.3516771,
719,51.9825420,4.3625360,
720,51.9861632,4.3628364,
721,51.9836233,4.3446138,
722,51.9849481,4.3514700,
723,51.9782686,4.3392637,
724,51.9822132,4.3478822,
725,51.9824136,4.3493572,
726,51.9945900,4.3870451,
727,51.9832162,4.3427295,
728,51.9846318,4.3509505,
729,51.9877934,4.3724841,
730,51.9858436,4.3642332,
731,51.9866197,4.3649423,
732,51.9847532,4.3563221,
733,51.9830854,4.3419652,
734,51.9781209,4.3443741,
735,51.9858787,4.3719329,
736,51.9847413,4.3629735,
737,51.9826759,4.3640770,
738,51.9825254,4.3369387,
739,51.9807279,4.3486077,
740,51.9861018,4.3578970,
741,51.9863180,4.3562848,
742,51.9811265,4.3453047,
743,51.9819355,4.3560556,
744,51.9812810,4.3609155,
745,51.9827487,4.3400728,
746,51.9819330,4.3490720,
747,51.9827353,4.3674886,
748,51.9869974,4.3593319,
749,51.9871661,4.3634201,
750,51.9860878,4.3568275,
751,51.9855380,4.3640492,
752,51.9844056,4.3483270,
753,51.9836657,4.3599662,
754,51.9800863,4.3490907,
755,51.9801439,4.3472648,
756,51.9823170,4.3666794,
757,51.9796261,4.3474960,
758,51.9870677,4.3579325,
759,51.9835544,4.3556220,
760,51.9813377,4.3394312,
761,51.9813418,4.3459342,
762,51.9825117,4.3607740,
763,51.9824425,4.3551970,
764,51.9807694,4.3577129,
765,51.9861518,4.3588251,
766,51.9853009,4.3656336,
767,51.9835045,4.3600256,
768,51.9841375,4.3655017,
769,51.9818751,4.3638920,
770,51.9870265,4.3617926,
771,51.9817741,4.3589920,
772,51.9813340,4.3564881,
773,51.9847426,4.3498999,
774,51.9847830,4.3425229,
775,51.9817244,4.3366902,
776,51.9801938,4.3578511,
777,51.9837497,4.3593295,
778,51.9804624,4.3365211,
779,51.9794885,4.3447858,
780,51.9822756,4.3401549,
781,51.9830203,4.3457665,
782,51.9821858,4.3427525,
783,51.9814875,4.3402997,
784,51.9800314,4.3372912,
785,51.9832990,4.3403082,
786,51.9854500,4.3731006,
787,51.9825770,4.3425172,
788,51.9875938,4.3647037,
789,51.9779801,4.3435018,
790,51.9818767,4.3614865,
791,51.9828407,4.3479989,
792,51.9864545,4.3637404,
793,51.9849079,4.3638341,
794,51.9796268,4.3380308,
795,51.9808662,4.3444746,
796,51.9818665,4.3448216,
797,51.9833228,4.3435309,
798,51.9793773,4.3494110,
799,51.9835677,4.3551569,
800,51.9789116,4.3478211,
801,51.9812508,4.3570464,
802,51.9852357,4.3517376,
803,51.9872883,4.3623667,
804,51.9820001,4.3674913,
805,51.9805346,4.3562407,
806,51.9827918,4.3547518,
807,51.9830366,4.3591845,
808,51.9834595,4.3566397,
809,51.9830895,4.3568508,
810,51.9821499,4.3585113,
811,51.9839652,4.3645976,
812,51.9912999,4.3724881,
813,51.9840243,4.3410153,
814,51.9860667,4.3604942,
815,51.9853467,4.3484610,
816,51.9830723,4.3573737,
817,51.9850326,4.3647744,
818,51.9822586,4.3618224,
819,51.9824151,4.3418573,
820,51.9810423,4.3368736,
821,51.9840339,4.3635214,
822,51.9828978,4.3628448,
823,51.9835376,4.3638169,
824,51.9818722,4.3578186,
825,51.9783872,4.3486259,
826,51.9838920,4.3461096,
827,51.9808855,4.3466657,
828,51.9810000,4.3589899,
829,51.9856349,4.3879170,
830,51.9797196,4.3416063,
831,51.9817607,4.3426598,
832,51.9821253,4.3389494,
833,51.9834346,4.3670781,
834,51.9798921,4.3569664,
835,51.9826969,4.3668129,
836,51.9864436,4.3615624,
837,51.9846437,4.3527051,
838,51.9848543,4.3661585,
839,51.9831459,4.3755327,
840,51.9853011,4.3597201,
841,51.9909640,4.3726914,
842,51.9838105,4.3567778,
843,51.9829288,4.3560133,
844,51.9843789,4.3663768,
845,51.9826249,4.3631804,
846,51.9822562,4.3561208,
847,51.9826937,4.3584568,
848,51.9826208,4.3378368,
849,51.9829317,4.3395653,
