,latitude,longitude,addr,amenity
379,52.0182183,4.3663155,2,[]
380,52.0134401,4.366537,4,[]
381,52.0155398,4.3638784,1,[]
382,52.0176056,4.3687385,1,[]
383,52.0126963,4.3687904,3,[]
384,52.0128871,4.3684363,3,[]
385,52.0165648,4.3627302,1,[]
386,52.0154275,4.3654781,1,[]
387,52.0133869,4.3689586,3,[]
388,52.018344,4.3646889,2,[]
389,52.0177553,4.3625823,2,[]
390,52.0171603,4.3656296,1,[]
391,52.0180649,4.3677444,1,[]
392,52.0176769,4.36866,1,[]
393,52.0152679,4.3640869,1,[]
394,52.0126091,4.3691223,2,[]
395,52.0158123,4.3649888,1,[]
396,52.0131029,4.3682914,3,[]
397,52.0149684,4.3648277,3,[]
398,52.0173119,4.3631312,1,[]
399,52.0166335,4.3628953,1,[]
400,52.0146931,4.3653243,2,[]
401,52.0172553,4.363,1,[]
402,52.0177556,4.3604535,2,[]
403,52.0149516,4.3688589,8,[]
404,52.0154188,4.3638892,1,[]
405,52.018216,4.3662301,2,[]
406,52.0180367,4.3642822,5,[]
407,52.0136591,4.36738,4,[]
408,52.0134373,4.3668541,2,[]
409,52.0144165,4.3667131,8,[]
410,52.0120247,4.3690556,8,[]
411,52.0135693,4.3671362,2,[]
412,52.0130319,4.3683425,3,[]
413,52.0169078,4.3638367,5,[]
414,52.0128681,4.3679533,2,[]
415,52.0158796,4.3631112,2,[]
416,52.0157658,4.3643599,1,[]
417,52.013521,4.3670306,1,[]
418,52.0132032,4.3684258,1,[]
419,52.0166753,4.3619432,2,[]
420,52.013505,4.3669941,2,[]
421,52.0135981,4.3672529,1,[]
422,52.0148505,4.3657041,2,[]
423,52.0166179,4.3640298,1,[]
424,52.0136157,4.3672255,1,[]
425,52.0152517,4.3659609,4,[]
426,52.0157854,4.3633981,3,[]
427,52.0176649,4.3612338,5,[]
428,52.0175436,4.3631274,3,[]
429,52.0174813,4.3688228,3,[]
430,52.0155139,4.3636609,8,[]
431,52.0125348,4.3681606,3,[]
432,52.0134744,4.3691616,13,[]
433,52.0132991,4.3687549,3,[]
434,52.0156822,4.3641753,1,[]
435,52.0178412,4.3608872,3,[]
436,52.0136374,4.3672714,2,[]
437,52.014442,4.3648282,4,[]
438,52.0156035,4.3640063,4,[]
439,52.0144061,4.3648688,3,[]
440,52.0133737,4.3663488,3,[]
441,52.0146737,4.3652756,2,[]
442,52.0158741,4.3645753,2,[]
443,52.0135571,4.3671738,2,[]
444,52.0166068,4.3652935,3,[]
445,52.0178683,4.3601317,6,[]
446,52.0136359,4.3673416,3,[]
447,52.0175413,4.3605186,7,[]
448,52.015792,4.3644141,1,[]
449,52.0157069,4.3642323,2,[]
450,52.0161593,4.3649119,6,[]
451,52.0178995,4.3613668,4,[]
452,52.0148696,4.3657526,2,[]
453,52.0169785,4.3663777,1,[]
454,52.0130894,4.3672329,8,[]
455,52.0135154,4.3661205,1,[]
456,52.0148313,4.3656569,6,[]
457,52.014815,4.3645953,3,[]
458,52.0166048,4.3640797,1,[]
459,52.0179322,4.3616953,4,[]
460,52.0181274,4.3606478,4,[]
461,52.0127994,4.368013,4,[]
462,52.01713,4.3621691,5,[]
463,52.0180875,4.361165,4,[]
464,52.0167555,4.361626,6,[]
465,52.0179162,4.3607746,3,[]
466,52.0165841,4.3641366,5,[]
467,52.0156399,4.368711,6,[]
468,52.0149687,4.3659948,7,[]
469,52.0132509,4.3670681,6,[]
470,52.0124857,4.368735,2,[]
471,52.0183315,4.3616155,2,[]
472,52.018213,4.3619414,2,[]
473,52.0182205,4.3613815,3,[]
474,52.0181723,4.3618523,2,[]
475,52.0132623,4.3686417,3,[]
476,52.0182764,4.3620814,2,[]
477,52.0180227,4.3615213,2,[]
478,52.0181493,4.3618016,2,[]
479,52.018264,4.3614686,1,[]
480,52.0180452,4.3615728,2,[]
481,52.0178751,4.3608424,6,[]
482,52.0134608,4.3668987,2,[]
483,52.0181089,4.3617125,2,[]
484,52.0138868,4.3658219,4,[]
485,52.014372,4.3649841,1,[]
486,52.0132896,4.3665,7,['doctors']
487,52.0171455,4.3689279,10,[]
488,52.0180862,4.3616617,2,[]
489,52.0183552,4.3616789,2,[]
490,52.0129584,4.3683853,3,[]
491,52.0182894,4.3615303,2,[]
492,52.0182357,4.3619922,3,[]
493,52.0164082,4.362169,5,[]
494,52.0143362,4.3650124,11,[]
495,52.0180036,4.3523692,16,['cafe']
496,52.0173925,4.3614591,7,[]
497,52.0148096,4.3643199,4,[]
498,52.0076572,4.3515174,3,[]
499,52.0113819,4.3529841,8,[]
500,52.0064157,4.3526886,16,[]
501,52.0052865,4.352235,5,[]
502,52.0052616,4.3527928,4,[]
503,52.0068282,4.3543634,14,[]
504,52.0092214,4.3512234,3,[]
505,52.0086471,4.3533748,5,[]
506,52.0110591,4.3525815,7,[]
507,52.0071013,4.3552843,7,[]
508,52.0112243,4.3512072,26,[]
509,52.0076263,4.3535858,1,[]
510,52.010018,4.3507522,5,[]
511,52.0093295,4.3510929,6,[]
