,latitude,longitude,amenity
372,51.9796905,4.3384384,
373,51.9810782,4.3443624,
374,51.9833265,4.3435565,
375,51.9793132,4.3490201,
376,51.9836258,4.3555191,
377,51.9790269,4.3484130,
378,51.9811320,4.3570959,
379,51.9850049,4.3518299,
380,51.9871115,4.3620937,
381,51.9835902,4.3588537,
382,51.9808693,4.3564813,
383,51.9867510,4.3585985,
384,51.9830108,4.3430870,
385,51.9828536,4.3551557,
386,51.9829869,4.3593747,
387,51.9832480,4.3555906,
388,51.9833142,4.3567573,
389,51.9817704,4.3583868,
390,51.9913927,4.3728897,
391,51.9857300,4.3598231,
392,51.9852907,4.3480990,
393,51.9830102,4.3569909,
394,51.9847941,4.3648670,
395,51.9822874,4.3621670,
396,51.9826621,4.3417581,
397,51.9811049,4.3372779,
398,51.9843325,4.3632914,
399,51.9831236,4.3647246,
400,51.9837029,4.3642556,
401,51.9814606,4.3487157,
402,51.9783881,4.3486255,
403,51.9837659,4.3461932,
404,51.9809276,4.3467825,
405,51.9813639,4.3592050,
406,51.9796565,4.3411987,
407,51.9819804,4.3425675,
408,51.9833853,4.3465757,
409,51.9823638,4.3388532,
410,51.9831435,4.3672685,
411,51.9796505,4.3570682,
412,51.9827860,4.3673739,
413,51.9866177,4.3612626,
414,51.9846533,4.3527604,
415,51.9841334,4.3387952,
416,51.9859337,4.3516164,dentist
417,51.9849343,4.3662573,
418,51.9850358,4.3737912,
419,51.9850889,4.3594087,
420,51.9910572,4.3730905,
421,51.9835857,4.3568687,
422,51.9831530,4.3559213,
423,51.9877242,4.3612797,
424,51.9846154,4.3663274,
425,51.9824711,4.3632558,
426,51.9823759,4.3568875,
427,51.9829042,4.3588910,
428,51.9828753,4.3376817,
429,51.9831791,4.3394613,
430,51.9818931,4.3420322,
431,51.9810157,4.3562837,
432,51.9870161,4.3569658,
433,51.9838003,4.3582479,
434,51.9818153,4.3623201,
435,51.9855208,4.3650535,
436,51.9818464,4.3646876,
437,51.9789515,4.3495364,
438,51.9832001,4.3410268,
439,51.9830682,4.3447831,
