,addr:housenumber,addr:street,latitude,longitude,id
58887,165B,Delfgauwseweg,52.0091846,4.3763547,5322518294
58888,4,Wijnhaven,52.0105829,4.3579967,5322518295
58889,1A,Brasserskade,52.0223674,4.3493511,5322518296
58890,21J,Sint Olofsstraat,52.0109940,4.3509845,5322518297
58891,21H,Sint Olofsstraat,52.0110251,4.3510505,5322518298
58892,21G,Sint Olofsstraat,52.0110442,4.3510882,5322518299
58893,77F,Oostsingel,52.0141978,4.3650249,5322518300
58894,77E,Oostsingel,52.0141978,4.3650249,5322518301
58895,77D,Oostsingel,52.0141978,4.3650249,5322518302
58896,77C,Oostsingel,52.0141978,4.3650249,5322518303
58897,77B,Oostsingel,52.0141978,4.3650249,5322518304
58898,77A,Oostsingel,52.0141978,4.3650249,5322518305
58899,13A,Patrimoniumstraat,52.0079317,4.3516625,5322518306
58900,111A,Vorrinkplein,52.0012336,4.3527850,5322518307
58901,318,Rotterdamseweg,51.9938432,4.3714242,5322518308
58902,324,Rotterdamseweg,51.9938470,4.3714336,5322518309
58903,326,Rotterdamseweg,51.9938515,4.3714135,5322518310
58904,320,Rotterdamseweg,51.9938569,4.3714343,5322518311
58905,322,Rotterdamseweg,51.9938593,4.3714148,5322518312
58906,328,Rotterdamseweg,51.9939026,4.3715468,5322518313
58907,330,Rotterdamseweg,51.9939026,4.3715662,5322518314
58908,33H,Oude Delft,52.0064751,4.3598313,5322518315
58909,33G,Oude Delft,52.0064729,4.3598284,5322518316
58910,33F,Oude Delft,52.0064708,4.3598255,5322518317
58911,33E,Oude Delft,52.0064687,4.3598227,5322518318
58912,33D,Oude Delft,52.0064666,4.3598198,5322518319
58913,33C,Oude Delft,52.0064644,4.3598169,5322518320
58914,33B,Oude Delft,52.0064772,4.3598342,5322518421
58915,33A,Oude Delft,52.0064623,4.3598141,5322518422
58916,45E,Noordeinde,52.0161596,4.3521549,5322518423
58917,45D,Noordeinde,52.0161509,4.3521697,5322518424
58918,45C,Noordeinde,52.0161423,4.3521173,5322518425
58919,45B,Noordeinde,52.0161447,4.3521522,5322518426
58920,45A,Noordeinde,52.0161579,4.3521321,5322518427
58921,94,Doelenstraat,52.0161411,4.3598399,5322518428
58922,7C,Van Bossestraat,52.0114261,4.3484622,5322518429
58923,7B,Van Bossestraat,52.0114261,4.3484622,5322518430
58924,7A,Van Bossestraat,52.0114261,4.3484622,5322518431
58925,30,Kromstraat,52.0109984,4.3598594,5322518432
58926,114B,Rotterdamseweg,52.0047353,4.3638014,5322518433
